# x_m,y_m,w_tr_right_m,w_tr_left_m
44.183,-167.533,1.500,1.500
43.989,-168.516,1.500,1.500
43.813,-169.501,1.500,1.500
43.656,-170.490,1.500,1.500
43.518,-171.481,1.500,1.500
43.398,-172.475,1.500,1.500
43.298,-173.471,1.500,1.500
43.216,-174.469,1.500,1.500
43.153,-175.468,1.500,1.500
43.098,-176.468,1.500,1.500
43.044,-177.468,1.500,1.500
42.990,-178.467,1.500,1.500
42.935,-179.467,1.500,1.500
42.881,-180.467,1.500,1.500
42.827,-181.466,1.500,1.500
42.772,-182.466,1.500,1.500
42.718,-183.466,1.500,1.500
42.662,-184.465,1.500,1.500
42.603,-185.465,1.500,1.500
42.540,-186.464,1.500,1.500
42.474,-187.463,1.500,1.500
42.404,-188.461,1.500,1.500
42.331,-189.460,1.500,1.500
42.254,-190.458,1.500,1.500
42.173,-191.456,1.500,1.500
42.089,-192.454,1.500,1.500
42.002,-193.451,1.500,1.500
41.911,-194.448,1.500,1.500
41.816,-195.445,1.500,1.500
41.718,-196.441,1.500,1.500
41.617,-197.437,1.500,1.500
41.512,-198.432,1.500,1.500
41.403,-199.428,1.500,1.500
41.291,-200.423,1.500,1.500
41.176,-201.417,1.500,1.500
41.057,-202.411,1.500,1.500
40.934,-203.405,1.500,1.500
40.808,-204.398,1.500,1.500
40.679,-205.391,1.500,1.500
40.546,-206.383,1.500,1.500
40.409,-207.375,1.500,1.500
40.269,-208.366,1.500,1.500
40.126,-209.357,1.500,1.500
39.979,-210.347,1.500,1.500
39.828,-211.337,1.500,1.500
39.674,-212.326,1.500,1.500
39.517,-213.315,1.500,1.500
39.355,-214.303,1.500,1.500
39.167,-215.286,1.500,1.500
38.945,-216.262,1.500,1.500
38.689,-217.230,1.500,1.500
38.398,-218.188,1.500,1.500
38.074,-219.135,1.500,1.500
37.716,-220.070,1.500,1.500
37.325,-220.992,1.500,1.500
36.902,-221.899,1.500,1.500
36.447,-222.791,1.500,1.500
35.961,-223.666,1.500,1.500
35.444,-224.524,1.500,1.500
34.897,-225.362,1.500,1.500
34.321,-226.181,1.500,1.500
33.716,-226.979,1.500,1.500
33.084,-227.755,1.500,1.500
32.424,-228.508,1.500,1.500
31.738,-229.237,1.500,1.500
31.027,-229.941,1.500,1.500
30.291,-230.620,1.500,1.500
29.532,-231.273,1.500,1.500
28.750,-231.898,1.500,1.500
27.946,-232.495,1.500,1.500
27.122,-233.063,1.500,1.500
26.278,-233.602,1.500,1.500
25.415,-234.110,1.500,1.500
24.536,-234.588,1.500,1.500
23.639,-235.034,1.500,1.500
22.728,-235.447,1.500,1.500
21.810,-235.847,1.500,1.500
